Executable,SID,Severity
shdocvw.exe,Administrator,Medium
shdocvw.exe,LocalUser,High
shdocvw.exe,Guest,High
shdocvw.exe,Everyone,High
shdocvw.exe,Unknown,High
wscript.exe,LocalSystem,Medium
wscript.exe,NetworkService,Medium
wscript.exe,Administrator,Medium
wscript.exe,LocalUser,High
wscript.exe,Guest,High
wscript.exe,Everyone,High
wscript.exe,Unknown,High
wmic.exe,LocalSystem,Medium
wmic.exe,NetworkService,High
wmic.exe,Administrator,Medium
wmic.exe,LocalUser,High
wmic.exe,Guest,High
wmic.exe,Everyone,High
wmic.exe,Unknown,High
xwizard.exe,LocalSystem,Medium
xwizard.exe,NetworkService,High
xwizard.exe,Administrator,Medium
xwizard.exe,LocalUser,High
xwizard.exe,Guest,Medium
xwizard.exe,Everyone,High
xwizard.exe,Unknown,High
scriptrunner.exe,LocalSystem,Medium
scriptrunner.exe,NetworkService,Medium
scriptrunner.exe,Administrator,Medium
scriptrunner.exe,LocalUser,High
scriptrunner.exe,Guest,High
scriptrunner.exe,Everyone,High
scriptrunner.exe,Unknown,High
dxcap.exe,LocalSystem,Medium
dxcap.exe,NetworkService,Medium
dxcap.exe,Administrator,Medium
dxcap.exe,LocalUser,High
dxcap.exe,Guest,High
dxcap.exe,Everyone,High
dxcap.exe,Unknown,High
makecab.exe,LocalSystem,Medium
makecab.exe,NetworkService,Medium
makecab.exe,Administrator,Medium
makecab.exe,LocalUser,High
makecab.exe,Guest,High
makecab.exe,Everyone,High
makecab.exe,Unknown,High
ie4uinit.exe,LocalSystem,Medium
ie4uinit.exe,NetworkService,High
ie4uinit.exe,Administrator,Medium
ie4uinit.exe,LocalUser,High
ie4uinit.exe,Guest,High
ie4uinit.exe,Everyone,High
ie4uinit.exe,Unknown,High
msiexec.exe,LocalSystem,Medium
msiexec.exe,NetworkService,High
msiexec.exe,Administrator,Medium
msiexec.exe,LocalUser,High
msiexec.exe,Guest,High
msiexec.exe,Everyone,High
msiexec.exe,Unknown,High
mftrace.exe,LocalSystem,Medium
mftrace.exe,NetworkService,High
mftrace.exe,Administrator,Medium
mftrace.exe,LocalUser,High
mftrace.exe,Guest,High
mftrace.exe,Everyone,High
mftrace.exe,Unknown,High
infdefaultinstall.exe,LocalSystem,Medium
infdefaultinstall.exe,NetworkService,High
infdefaultinstall.exe,Administrator,Medium
infdefaultinstall.exe,LocalUser,High
infdefaultinstall.exe,Guest,High
infdefaultinstall.exe,Everyone,High
infdefaultinstall.exe,Unknown,High
cmstp.exe,LocalSystem,Medium
cmstp.exe,NetworkService,Medium
cmstp.exe,Administrator,Medium
cmstp.exe,LocalUser,High
cmstp.exe,Guest,High
cmstp.exe,Everyone,High
cmstp.exe,Unknown,High
esentutl.exe,LocalSystem,Medium
esentutl.exe,NetworkService,High
esentutl.exe,Administrator,Medium
esentutl.exe,LocalUser,High
esentutl.exe,Guest,High
esentutl.exe,Everyone,High
esentutl.exe,Unknown,High
robocopy.exe,LocalSystem,Medium
robocopy.exe,NetworkService,Medium
robocopy.exe,Administrator,Medium
robocopy.exe,LocalUser,High
robocopy.exe,Guest,High
robocopy.exe,Everyone,High
robocopy.exe,Unknown,High
pcalua.exe,LocalSystem,Medium
pcalua.exe,NetworkService,High
pcalua.exe,Administrator,Medium
pcalua.exe,LocalUser,High
pcalua.exe,Guest,High
pcalua.exe,Everyone,High
pcalua.exe,Unknown,High
syncappvpublishingserver.exe,LocalSystem,Medium
syncappvpublishingserver.exe,NetworkService,High
syncappvpublishingserver.exe,Administrator,Medium
syncappvpublishingserver.exe,LocalUser,High
syncappvpublishingserver.exe,Guest,High
syncappvpublishingserver.exe,Everyone,High
syncappvpublishingserver.exe,Unknown,High
mavinject.exe,LocalSystem,Medium
mavinject.exe,NetworkService,Medium
mavinject.exe,Administrator,Medium
mavinject.exe,LocalUser,High
mavinject.exe,Guest,High
mavinject.exe,Everyone,High
mavinject.exe,Unknown,High
dism.exe,LocalSystem,Medium
dism.exe,NetworkService,High
dism.exe,Administrator,Medium
dism.exe,LocalUser,High
dism.exe,Guest,High
dism.exe,Everyone,High
dism.exe,Unknown,High
expand.exe,LocalSystem,Medium
expand.exe,NetworkService,Medium
expand.exe,Administrator,Medium
expand.exe,LocalUser,High
expand.exe,Guest,High
expand.exe,Everyone,High
expand.exe,Unknown,High
extrac32.exe,LocalSystem,Medium
extrac32.exe,NetworkService,High
extrac32.exe,Administrator,Medium
extrac32.exe,LocalUser,High
extrac32.exe,Guest,High
extrac32.exe,Everyone,High
extrac32.exe,Unknown,High
control.exe,LocalSystem,Medium
control.exe,NetworkService,High
control.exe,Administrator,Medium
control.exe,LocalUser,High
control.exe,Guest,High
control.exe,Everyone,High
control.exe,Unknown,High
gpupdate.exe,LocalSystem,Medium
gpupdate.exe,NetworkService,High
gpupdate.exe,Administrator,Medium
gpupdate.exe,LocalUser,High
gpupdate.exe,Guest,High
gpupdate.exe,Everyone,High
gpupdate.exe,Unknown,High
msxsl.exe,LocalSystem,Medium
msxsl.exe,NetworkService,High
msxsl.exe,Administrator,Medium
msxsl.exe,LocalUser,High
msxsl.exe,Guest,High
msxsl.exe,Everyone,High
msxsl.exe,Unknown,High
verclsid.exe,LocalSystem,Medium
verclsid.exe,NetworkService,High
verclsid.exe,Administrator,Medium
verclsid.exe,LocalUser,High
verclsid.exe,Guest,High
verclsid.exe,Everyone,High
verclsid.exe,Unknown,High
vssadmin.exe,LocalSystem,Medium
vssadmin.exe,NetworkService,Medium
vssadmin.exe,Administrator,Medium
vssadmin.exe,LocalUser,High
vssadmin.exe,Guest,High
vssadmin.exe,Everyone,High
vssadmin.exe,Unknown,High
icacls.exe,LocalSystem,Medium
icacls.exe,NetworkService,High
icacls.exe,Administrator,Medium
icacls.exe,LocalUser,High
icacls.exe,Guest,High
icacls.exe,Everyone,High
icacls.exe,Unknown,High
attrib.exe,LocalSystem,Medium
attrib.exe,NetworkService,High
attrib.exe,Administrator,Medium
attrib.exe,LocalUser,High
attrib.exe,Guest,High
attrib.exe,Everyone,High
attrib.exe,Unknown,High
takeown.exe,LocalSystem,Medium
takeown.exe,NetworkService,High
takeown.exe,Administrator,Medium
takeown.exe,LocalUser,High
takeown.exe,Guest,High
takeown.exe,Everyone,High
takeown.exe,Unknown,High
whoami.exe,LocalSystem,Medium
whoami.exe,NetworkService,High
whoami.exe,Administrator,Medium
whoami.exe,LocalUser,High
whoami.exe,Guest,High
whoami.exe,Everyone,High
whoami.exe,Unknown,High
where.exe,LocalSystem,Medium
where.exe,NetworkService,High
where.exe,Administrator,Medium
where.exe,LocalUser,High
where.exe,Guest,High
where.exe,Everyone,High
where.exe,Unknown,High
addinutil.exe,LocalSystem,Medium
addinutil.exe,NetworkService,High
addinutil.exe,Administrator,Medium
addinutil.exe,LocalUser,Medium
addinutil.exe,Guest,High
addinutil.exe,Everyone,High
addinutil.exe,Unknown,High
appinstaller.exe,LocalSystem,Medium
appinstaller.exe,NetworkService,High
appinstaller.exe,Administrator,Medium
appinstaller.exe,LocalUser,High
appinstaller.exe,Guest,High
appinstaller.exe,Everyone,High
appinstaller.exe,Unknown,High
aspnet_compiler.exe,LocalSystem,Medium
aspnet_compiler.exe,NetworkService,High
aspnet_compiler.exe,Administrator,Medium
aspnet_compiler.exe,LocalUser,High
aspnet_compiler.exe,Guest,High
aspnet_compiler.exe,Everyone,High
aspnet_compiler.exe,Unknown,High
atbroker.exe,LocalSystem,Medium
atbroker.exe,NetworkService,High
atbroker.exe,Administrator,Medium
atbroker.exe,LocalUser,High
atbroker.exe,Guest,High
atbroker.exe,Everyone,High
atbroker.exe,Unknown,High
certoc.exe,LocalSystem,Medium
certoc.exe,NetworkService,High
certoc.exe,Administrator,Medium
certoc.exe,LocalUser,High
certoc.exe,Guest,High
certoc.exe,Everyone,High
certoc.exe,Unknown,High
cipher.exe,LocalSystem,Medium
cipher.exe,NetworkService,High
cipher.exe,Administrator,Medium
cipher.exe,LocalUser,High
cipher.exe,Guest,High
cipher.exe,Everyone,High
cipher.exe,Unknown,High
cmdkey.exe,LocalSystem,Medium
cmdkey.exe,NetworkService,High
cmdkey.exe,Administrator,Medium
cmdkey.exe,LocalUser,High
cmdkey.exe,Guest,High
cmdkey.exe,Everyone,High
cmdkey.exe,Unknown,High
cmdl32.exe,LocalSystem,Medium
cmdl32.exe,NetworkService,High
cmdl32.exe,Administrator,Medium
cmdl32.exe,LocalUser,High
cmdl32.exe,Guest,High
cmdl32.exe,Everyone,High
cmdl32.exe,Unknown,High
colorcpl.exe,LocalSystem,Low
colorcpl.exe,NetworkService,Low
colorcpl.exe,Administrator,Low
colorcpl.exe,LocalUser,Low
colorcpl.exe,Guest,Low
colorcpl.exe,Everyone,Low
colorcpl.exe,Unknown,Low
computerdefaults.exe,LocalSystem,Low
computerdefaults.exe,NetworkService,Low
computerdefaults.exe,Administrator,Low
computerdefaults.exe,LocalUser,Low
computerdefaults.exe,Guest,Low
computerdefaults.exe,Everyone,Low
computerdefaults.exe,Unknown,Low
configsecuritypolicy.exe,LocalSystem,Medium
configsecuritypolicy.exe,NetworkService,High
configsecuritypolicy.exe,Administrator,Medium
configsecuritypolicy.exe,LocalUser,High
configsecuritypolicy.exe,Guest,High
configsecuritypolicy.exe,Everyone,High
configsecuritypolicy.exe,Unknown,High
conhost.exe,LocalSystem,Low
conhost.exe,NetworkService,Low
conhost.exe,Administrator,Low
conhost.exe,LocalUser,Low
conhost.exe,Guest,Low
conhost.exe,Everyone,Low
conhost.exe,Unknown,Low
csc.exe,LocalSystem,Medium
csc.exe,NetworkService,High
csc.exe,Administrator,Medium
csc.exe,LocalUser,High
csc.exe,Guest,High
csc.exe,Everyone,High
csc.exe,Unknown,High
customshellhost.exe,LocalSystem,Medium
customshellhost.exe,NetworkService,High
customshellhost.exe,Administrator,Medium
customshellhost.exe,LocalUser,High
customshellhost.exe,Guest,High
customshellhost.exe,Everyone,High
customshellhost.exe,Unknown,High
datasvcutil.exe,LocalSystem,Medium
datasvcutil.exe,NetworkService,High
datasvcutil.exe,Administrator,Medium
datasvcutil.exe,LocalUser,High
datasvcutil.exe,Guest,High
datasvcutil.exe,Everyone,High
datasvcutil.exe,Unknown,High
desktopimgdownldr.exe,LocalSystem,Low
desktopimgdownldr.exe,NetworkService,Low
desktopimgdownldr.exe,Administrator,Low
desktopimgdownldr.exe,LocalUser,Low
desktopimgdownldr.exe,Guest,Low
desktopimgdownldr.exe,Everyone,Low
desktopimgdownldr.exe,Unknown,Low
devicecredentialdeployment.exe,LocalSystem,Medium
devicecredentialdeployment.exe,NetworkService,High
devicecredentialdeployment.exe,Administrator,Medium
devicecredentialdeployment.exe,LocalUser,High
devicecredentialdeployment.exe,Guest,High
devicecredentialdeployment.exe,Everyone,High
devicecredentialdeployment.exe,Unknown,High
dfsvc.exe,LocalSystem,Medium
dfsvc.exe,NetworkService,High
dfsvc.exe,Administrator,Medium
dfsvc.exe,LocalUser,High
dfsvc.exe,Guest,High
dfsvc.exe,Everyone,High
dfsvc.exe,Unknown,High
diantz.exe,LocalSystem,Medium
diantz.exe,NetworkService,High
diantz.exe,Administrator,Medium
diantz.exe,LocalUser,High
diantz.exe,Guest,High
diantz.exe,Everyone,High
diantz.exe,Unknown,High
dnscmd.exe,LocalSystem,Medium
dnscmd.exe,NetworkService,High
dnscmd.exe,Administrator,Medium
dnscmd.exe,LocalUser,High
dnscmd.exe,Guest,High
dnscmd.exe,Everyone,High
dnscmd.exe,Unknown,High
eventvwr.exe,LocalSystem,Medium
eventvwr.exe,NetworkService,High
eventvwr.exe,Administrator,Medium
eventvwr.exe,LocalUser,High
eventvwr.exe,Guest,High
eventvwr.exe,Everyone,High
eventvwr.exe,Unknown,High
explorer.exe,LocalSystem,Low
explorer.exe,NetworkService,Low
explorer.exe,Administrator,Low
explorer.exe,LocalUser,Low
explorer.exe,Guest,Low
explorer.exe,Everyone,Low
explorer.exe,Unknown,Low
extexport.exe,LocalSystem,Medium
extexport.exe,NetworkService,High
extexport.exe,Administrator,Medium
extexport.exe,LocalUser,High
extexport.exe,Guest,High
extexport.exe,Everyone,High
extexport.exe,Unknown,High
findstr.exe,LocalSystem,Medium
findstr.exe,NetworkService,High
findstr.exe,Administrator,Medium
findstr.exe,LocalUser,High
findstr.exe,Guest,High
findstr.exe,Everyone,High
findstr.exe,Unknown,High
finger.exe,LocalSystem,Medium
finger.exe,NetworkService,High
finger.exe,Administrator,Medium
finger.exe,LocalUser,High
finger.exe,Guest,High
finger.exe,Everyone,High
finger.exe,Unknown,High
fltmc.exe,LocalSystem,Medium
fltmc.exe,NetworkService,High
fltmc.exe,Administrator,Medium
fltmc.exe,LocalUser,High
fltmc.exe,Guest,High
fltmc.exe,Everyone,High
fltmc.exe,Unknown,High
fsutil.exe,LocalSystem,Medium
fsutil.exe,NetworkService,High
fsutil.exe,Administrator,Medium
fsutil.exe,LocalUser,High
fsutil.exe,Guest,High
fsutil.exe,Everyone,High
fsutil.exe,Unknown,High
ftp.exe,LocalSystem,Low
ftp.exe,NetworkService,Low
ftp.exe,Administrator,Low
ftp.exe,LocalUser,Low
ftp.exe,Guest,Low
ftp.exe,Everyone,Low
ftp.exe,Unknown,Low
gpscript.exe,LocalSystem,Medium
gpscript.exe,NetworkService,High
gpscript.exe,Administrator,Medium
gpscript.exe,LocalUser,High
gpscript.exe,Guest,High
gpscript.exe,Everyone,High
gpscript.exe,Unknown,High
iediagcmd.exe,LocalSystem,Medium
iediagcmd.exe,NetworkService,High
iediagcmd.exe,Administrator,Medium
iediagcmd.exe,LocalUser,High
iediagcmd.exe,Guest,High
iediagcmd.exe,Everyone,High
iediagcmd.exe,Unknown,High
ilasm.exe,LocalSystem,Medium
ilasm.exe,NetworkService,High
ilasm.exe,Administrator,Medium
ilasm.exe,LocalUser,High
ilasm.exe,Guest,High
ilasm.exe,Everyone,High
ilasm.exe,Unknown,High
imewdbld.exe,LocalSystem,Medium
imewdbld.exe,NetworkService,High
imewdbld.exe,Administrator,Medium
imewdbld.exe,LocalUser,High
imewdbld.exe,Guest,High
imewdbld.exe,Everyone,High
imewdbld.exe,Unknown,High
ldifde.exe,LocalSystem,Medium
ldifde.exe,NetworkService,High
ldifde.exe,Administrator,Medium
ldifde.exe,LocalUser,High
ldifde.exe,Guest,High
ldifde.exe,Everyone,High
ldifde.exe,Unknown,High
microsoft.workflow.compiler.exe,LocalSystem,Medium
microsoft.workflow.compiler.exe,NetworkService,High
microsoft.workflow.compiler.exe,Administrator,Medium
microsoft.workflow.compiler.exe,LocalUser,High
microsoft.workflow.compiler.exe,Guest,High
microsoft.workflow.compiler.exe,Everyone,High
microsoft.workflow.compiler.exe,Unknown,High
mmc.exe,LocalSystem,Low
mmc.exe,NetworkService,Low
mmc.exe,Administrator,Low
mmc.exe,LocalUser,Low
mmc.exe,Guest,Low
mmc.exe,Everyone,Low
mmc.exe,Unknown,Low
mpcmdrun.exe,LocalSystem,Medium
mpcmdrun.exe,NetworkService,High
mpcmdrun.exe,Administrator,Medium
mpcmdrun.exe,LocalUser,High
mpcmdrun.exe,Guest,High
mpcmdrun.exe,Everyone,High
mpcmdrun.exe,Unknown,High
msconfig.exe,LocalSystem,Medium
msconfig.exe,NetworkService,High
msconfig.exe,Administrator,Medium
msconfig.exe,LocalUser,High
msconfig.exe,Guest,High
msconfig.exe,Everyone,High
msconfig.exe,Unknown,High
msdt.exe,LocalSystem,Medium
msdt.exe,NetworkService,High
msdt.exe,Administrator,Medium
msdt.exe,LocalUser,High
msdt.exe,Guest,High
msdt.exe,Everyone,High
msdt.exe,Unknown,High
msedge.exe,LocalSystem,Medium
msedge.exe,NetworkService,High
msedge.exe,Administrator,Medium
msedge.exe,LocalUser,High
msedge.exe,Guest,High
msedge.exe,Everyone,High
msedge.exe,Unknown,High
msedge_proxy.exe,LocalSystem,Medium
msedge_proxy.exe,NetworkService,High
msedge_proxy.exe,Administrator,Medium
msedge_proxy.exe,LocalUser,High
msedge_proxy.exe,Guest,High
msedge_proxy.exe,Everyone,High
msedge_proxy.exe,Unknown,High
msedgewebview2.exe,LocalSystem,Medium
msedgewebview2.exe,NetworkService,High
msedgewebview2.exe,Administrator,Medium
msedgewebview2.exe,LocalUser,High
msedgewebview2.exe,Guest,High
msedgewebview2.exe,Everyone,High
msedgewebview2.exe,Unknown,High
netsh.exe,LocalSystem,Medium
netsh.exe,NetworkService,High
netsh.exe,Administrator,Medium
netsh.exe,LocalUser,High
netsh.exe,Guest,High
netsh.exe,Everyone,High
netsh.exe,Unknown,High
ngen.exe,LocalSystem,Medium
ngen.exe,NetworkService,Medium
ngen.exe,Administrator,Medium
ngen.exe,LocalUser,High
ngen.exe,Guest,High
ngen.exe,Everyone,High
ngen.exe,Unknown,High
offlinescannershell.exe,LocalSystem,Medium
offlinescannershell.exe,NetworkService,High
offlinescannershell.exe,Administrator,Medium
offlinescannershell.exe,LocalUser,High
offlinescannershell.exe,Guest,High
offlinescannershell.exe,Everyone,High
offlinescannershell.exe,Unknown,High
onedrivestandaloneupdater.exe,LocalSystem,Medium
onedrivestandaloneupdater.exe,NetworkService,High
onedrivestandaloneupdater.exe,Administrator,Medium
onedrivestandaloneupdater.exe,LocalUser,Medium
onedrivestandaloneupdater.exe,Guest,High
onedrivestandaloneupdater.exe,Everyone,High
onedrivestandaloneupdater.exe,Unknown,High
pcwrun.exe,LocalSystem,Medium
pcwrun.exe,NetworkService,High
pcwrun.exe,Administrator,Medium
pcwrun.exe,LocalUser,High
pcwrun.exe,Guest,High
pcwrun.exe,Everyone,High
pcwrun.exe,Unknown,High
pktmon.exe,LocalSystem,Medium
pktmon.exe,NetworkService,High
pktmon.exe,Administrator,Medium
pktmon.exe,LocalUser,High
pktmon.exe,Guest,High
pktmon.exe,Everyone,High
pktmon.exe,Unknown,High
pnputil.exe,LocalSystem,Medium
pnputil.exe,NetworkService,Medium
pnputil.exe,Administrator,Medium
pnputil.exe,LocalUser,High
pnputil.exe,Guest,High
pnputil.exe,Everyone,High
pnputil.exe,Unknown,High
print.exe,LocalSystem,Low
print.exe,NetworkService,Low
print.exe,Administrator,Low
print.exe,LocalUser,Low
print.exe,Guest,Low
print.exe,Everyone,Low
print.exe,Unknown,Low
printbrm.exe,LocalSystem,Low
printbrm.exe,NetworkService,Low
printbrm.exe,Administrator,Low
printbrm.exe,LocalUser,Low
printbrm.exe,Guest,Low
printbrm.exe,Everyone,Low
printbrm.exe,Unknown,Low
provlaunch.exe,LocalSystem,Medium
provlaunch.exe,NetworkService,High
provlaunch.exe,Administrator,Medium
provlaunch.exe,LocalUser,High
provlaunch.exe,Guest,High
provlaunch.exe,Everyone,High
provlaunch.exe,Unknown,High
psr.exe,LocalSystem,Medium
psr.exe,NetworkService,High
psr.exe,Administrator,Medium
psr.exe,LocalUser,High
psr.exe,Guest,High
psr.exe,Everyone,High
psr.exe,Unknown,High
rasautou.exe,LocalSystem,Medium
rasautou.exe,NetworkService,High
rasautou.exe,Administrator,Medium
rasautou.exe,LocalUser,High
rasautou.exe,Guest,High
rasautou.exe,Everyone,High
rasautou.exe,Unknown,High
rdrleakdiag.exe,LocalSystem,Medium
rdrleakdiag.exe,NetworkService,High
rdrleakdiag.exe,Administrator,Medium
rdrleakdiag.exe,LocalUser,High
rdrleakdiag.exe,Guest,High
rdrleakdiag.exe,Everyone,High
rdrleakdiag.exe,Unknown,High
regedit.exe,LocalSystem,Low
regedit.exe,NetworkService,Low
regedit.exe,Administrator,Low
regedit.exe,LocalUser,Low
regedit.exe,Guest,Low
regedit.exe,Everyone,Low
regedit.exe,Unknown,Low
regini.exe,LocalSystem,Medium
regini.exe,NetworkService,High
regini.exe,Administrator,Medium
regini.exe,LocalUser,High
regini.exe,Guest,High
regini.exe,Everyone,High
regini.exe,Unknown,High
register-cimprovider.exe,LocalSystem,Medium
register-cimprovider.exe,NetworkService,High
register-cimprovider.exe,Administrator,Medium
register-cimprovider.exe,LocalUser,High
register-cimprovider.exe,Guest,High
register-cimprovider.exe,Everyone,High
register-cimprovider.exe,Unknown,High
replace.exe,LocalSystem,Medium
replace.exe,NetworkService,High
replace.exe,Administrator,Medium
replace.exe,LocalUser,High
replace.exe,Guest,High
replace.exe,Everyone,High
replace.exe,Unknown,High
rpcping.exe,LocalSystem,Medium
rpcping.exe,NetworkService,High
rpcping.exe,Administrator,Medium
rpcping.exe,LocalUser,High
rpcping.exe,Guest,High
rpcping.exe,Everyone,High
rpcping.exe,Unknown,High
runexehelper.exe,LocalSystem,Medium
runexehelper.exe,NetworkService,Medium
runexehelper.exe,Administrator,Medium
runexehelper.exe,LocalUser,High
runexehelper.exe,Guest,High
runexehelper.exe,Everyone,High
runexehelper.exe,Unknown,High
runonce.exe,LocalSystem,Medium
runonce.exe,NetworkService,High
runonce.exe,Administrator,Medium
runonce.exe,LocalUser,High
runonce.exe,Guest,High
runonce.exe,Everyone,High
runonce.exe,Unknown,High
runscripthelper.exe,LocalSystem,Medium
runscripthelper.exe,NetworkService,High
runscripthelper.exe,Administrator,Medium
runscripthelper.exe,LocalUser,High
runscripthelper.exe,Guest,High
runscripthelper.exe,Everyone,High
runscripthelper.exe,Unknown,High
sc.exe,LocalSystem,Medium
sc.exe,NetworkService,High
sc.exe,Administrator,Medium
sc.exe,LocalUser,High
sc.exe,Guest,High
sc.exe,Everyone,High
sc.exe,Unknown,High
setres.exe,LocalSystem,Medium
setres.exe,NetworkService,High
setres.exe,Administrator,Medium
setres.exe,LocalUser,High
setres.exe,Guest,High
setres.exe,Everyone,High
setres.exe,Unknown,High
settingsynchost.exe,LocalSystem,Medium
settingsynchost.exe,NetworkService,High
settingsynchost.exe,Administrator,Medium
settingsynchost.exe,LocalUser,High
settingsynchost.exe,Guest,High
settingsynchost.exe,Everyone,High
settingsynchost.exe,Unknown,High
sftp.exe,LocalSystem,Medium
sftp.exe,NetworkService,High
sftp.exe,Administrator,Medium
sftp.exe,LocalUser,High
sftp.exe,Guest,High
sftp.exe,Everyone,High
sftp.exe,Unknown,High
ssh.exe,LocalSystem,Medium
ssh.exe,NetworkService,High
ssh.exe,Administrator,Medium
ssh.exe,LocalUser,High
ssh.exe,Guest,High
ssh.exe,Everyone,High
ssh.exe,Unknown,High
