Executable,SID,Severity
stordiag.exe,LocalSystem,Medium
stordiag.exe,NetworkService,High
stordiag.exe,Administrator,Medium
stordiag.exe,LocalUser,High
stordiag.exe,Guest,High
stordiag.exe,Everyone,High
stordiag.exe,Unknown,High
tar.exe,LocalSystem,Medium
tar.exe,NetworkService,High
tar.exe,Administrator,Medium
tar.exe,LocalUser,High
tar.exe,Guest,High
tar.exe,Everyone,High
tar.exe,Unknown,High
ttdinject.exe,LocalSystem,Medium
ttdinject.exe,NetworkService,High
ttdinject.exe,Administrator,Medium
ttdinject.exe,LocalUser,High
ttdinject.exe,Guest,High
ttdinject.exe,Everyone,High
ttdinject.exe,Unknown,High
tttracer.exe,LocalSystem,Medium
tttracer.exe,NetworkService,High
tttracer.exe,Administrator,Medium
tttracer.exe,LocalUser,High
tttracer.exe,Guest,High
tttracer.exe,Everyone,High
tttracer.exe,Unknown,High
unregmp2.exe,LocalSystem,Medium
unregmp2.exe,NetworkService,High
unregmp2.exe,Administrator,Medium
unregmp2.exe,LocalUser,High
unregmp2.exe,Guest,High
unregmp2.exe,Everyone,High
unregmp2.exe,Unknown,High
vbc.exe,LocalSystem,Medium
vbc.exe,NetworkService,High
vbc.exe,Administrator,Medium
vbc.exe,LocalUser,High
vbc.exe,Guest,High
vbc.exe,Everyone,High
vbc.exe,Unknown,High
wab.exe,LocalSystem,Medium
wab.exe,NetworkService,High
wab.exe,Administrator,Medium
wab.exe,LocalUser,High
wab.exe,Guest,High
wab.exe,Everyone,High
wab.exe,Unknown,High
wbadmin.exe,LocalSystem,Medium
wbadmin.exe,NetworkService,High
wbadmin.exe,Administrator,Medium
wbadmin.exe,LocalUser,High
wbadmin.exe,Guest,High
wbadmin.exe,Everyone,High
wbadmin.exe,Unknown,High
wbemtest.exe,LocalSystem,Low
wbemtest.exe,NetworkService,Low
wbemtest.exe,Administrator,Low
wbemtest.exe,LocalUser,Low
wbemtest.exe,Guest,Low
wbemtest.exe,Everyone,Low
wbemtest.exe,Unknown,Low
winget.exe,LocalSystem,Low
winget.exe,NetworkService,Low
winget.exe,Administrator,Low
winget.exe,LocalUser,Low
winget.exe,Guest,Low
winget.exe,Everyone,Low
winget.exe,Unknown,Low
wlrmdr.exe,LocalSystem,Medium
wlrmdr.exe,NetworkService,High
wlrmdr.exe,Administrator,Medium
wlrmdr.exe,LocalUser,High
wlrmdr.exe,Guest,High
wlrmdr.exe,Everyone,High
wlrmdr.exe,Unknown,High
workfolders.exe,LocalSystem,Medium
workfolders.exe,NetworkService,High
workfolders.exe,Administrator,Medium
workfolders.exe,LocalUser,High
workfolders.exe,Guest,High
workfolders.exe,Everyone,High
workfolders.exe,Unknown,High
wsreset.exe,LocalSystem,Low
wsreset.exe,NetworkService,Low
wsreset.exe,Administrator,Low
wsreset.exe,LocalUser,Low
wsreset.exe,Guest,Low
wsreset.exe,Everyone,Low
wsreset.exe,Unknown,Low
wt.exe,LocalSystem,Low
wt.exe,NetworkService,Low
wt.exe,Administrator,Low
wt.exe,LocalUser,Low
wt.exe,Guest,Low
wt.exe,Everyone,Low
wt.exe,Unknown,Low
wuauclt.exe,LocalSystem,Medium
wuauclt.exe,NetworkService,High
wuauclt.exe,Administrator,Medium
wuauclt.exe,LocalUser,High
wuauclt.exe,Guest,High
wuauclt.exe,Everyone,High
wuauclt.exe,Unknown,High
powershell_ise.exe,LocalSystem,Medium
powershell_ise.exe,NetworkService,High
powershell_ise.exe,Administrator,Medium
powershell_ise.exe,LocalUser,High
powershell_ise.exe,Guest,High
powershell_ise.exe,Everyone,High
powershell_ise.exe,Unknown,High
